Model,RMSE,MAE,R2,MAPE,Sure_sn
10. Extra Trees,118912.74427656953,68914.4455173466,0.9579751996430397,5.148407444541139,0.12
8. Gradient Boosting,123072.58779017138,84994.1773910114,0.9549835213474518,6.353648994322268,0.52
9. XGBoost,123824.54999872991,78521.1401589482,0.9544317477376745,5.857992931198589,0.18
7. Rastgele Orman,142675.10219610395,96415.33880148591,0.939501411840858,7.3187568567033985,0.15
5. k-NN (k=5),160832.46447559356,103207.39277864993,0.9231230245367797,7.733753694120943,0.0
6. Karar Ağacı (CART),178767.14424221189,120678.85635106632,0.905021728843202,8.928868008297584,0.0
11. Yapay Sinir Ağı (MLP),187057.20280305413,130950.42243188241,0.8960085277716444,9.986037302164416,3.69
1. Lineer Regresyon (Log),225093.5559577762,161891.0385596064,0.8494173348925993,11.312830250092599,0.0
4. ElasticNet (Log),225168.37260450132,162356.40948235028,0.8493172168565846,11.336320173611407,0.0
3. Lasso Regresyon (Log),225282.25681432002,162843.37314235503,0.8491647555750222,11.367295800258333,0.0
2. Ridge Regresyon (Log),225396.99036528647,162246.19815273763,0.8490110792910324,11.325322931853892,0.0
