Yil,Kilometre,Motor_Hacmi,Motor_Gucu,Tork,Hizlanma_0_100,Maks_Hiz,Uzunluk,Genislik,Yukseklik,Bos_Agirlik,Koltuk_Sayisi,Bagaj_Hacmi,Silindir_Sayisi,Ort_Kasko,Marka,Vites_Tipi,Yakit_Tipi,Kasa_Tipi,Cekis,Kimden,Fiyat,Tahmin_Fiyat,Gercek_Fiyat,Fark_TL,Fark_Pct,Durum
2025,6001.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Sahibinden,2425000.0,2055859,2425000,369140,18.0,PAHALI
2025,16000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Benzin,SUV,4WD (Sürekli),Sahibinden,2900000.0,2878151,2900000,21848,0.8,MAKUL
2015,265000.0,1461.0,110.0,,12.4,,4379.0,1800.0,1590.0,,5.0,,4.0,18918.0,Nissan,Düz,Dizel,SUV,Önden Çekiş,Galeriden,1150000.0,1142131,1150000,7868,0.7,MAKUL
2014,196000.0,1598.0,130.0,,10.7,,4379.0,1800.0,1590.0,,5.0,,4.0,17977.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Sahibinden,1240000.0,1237011,1240000,2988,0.2,MAKUL
2011,305000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Düz,Dizel,SUV,Önden Çekiş,Galeriden,690000.0,695117,690000,-5117,-0.7,MAKUL
2021,43500.0,999.0,115.0,,11.8,,4210.0,1800.0,1595.0,,5.0,,3.0,11957.0,Nissan,Yarı Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1329900.0,1343329,1329900,-13429,-1.0,MAKUL
2008,199887.0,1598.0,115.0,,12.0,,4315.0,1780.0,1615.0,,5.0,,4.0,13348.0,Nissan,Düz,Benzin,SUV,Önden Çekiş,Galeriden,850000.0,827036,850000,22963,2.8,MAKUL
2022,27000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Benzin,-,-,Galeriden,2269000.0,2269132,2269000,-132,-0.0,MAKUL
2024,39000.0,999.0,115.0,,11.8,,4210.0,1800.0,1595.0,,5.0,,3.0,16173.0,Nissan,Yarı Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1499000.0,1513316,1499000,-14316,-0.9,MAKUL
2025,26500.0,999.0,115.0,,11.8,,4210.0,1800.0,1595.0,,5.0,,3.0,11957.0,Nissan,Yarı Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1545000.0,1545777,1545000,-777,-0.1,MAKUL
