Fiyat,Yil,Kilometre,Motor_Hacmi,Motor_Gucu,Marka,Vites_Tipi,Yakit_Tipi,Segment
1150000.0,2015,265000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1240000.0,2014,196000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1329900.0,2021,43500.0,999.0,115.0,Nissan,Yarı Otomatik,Benzin,UST
850000.0,2008,199887.0,1598.0,115.0,Nissan,Düz,Benzin,ORTA
1499000.0,2024,39000.0,999.0,115.0,Nissan,Yarı Otomatik,Benzin,UST
1545000.0,2025,26500.0,999.0,115.0,Nissan,Yarı Otomatik,Benzin,UST
1485000.0,2024,17000.0,999.0,115.0,Nissan,Yarı Otomatik,Benzin,UST
1425000.0,2015,120000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
849950.0,2016,199000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1390000.0,2016,110000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
979000.0,2016,129000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1699000.0,2020,35385.0,1332.0,160.0,Nissan,Yarı Otomatik,Benzin,PREMIUM
1499000.0,2024,39935.0,999.0,115.0,Nissan,Yarı Otomatik,Benzin,UST
2610000.0,2023,80000.0,1497.0,213.0,Nissan,Otomatik,Benzin,PREMIUM
870000.0,2018,79000.0,1461.0,110.0,Nissan,Düz,Dizel,UST
2649900.0,2025,7000.0,1332.0,158.0,Nissan,Otomatik,Benzin,PREMIUM
2195000.0,2023,33000.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
1410000.0,2024,44006.0,999.0,115.0,Nissan,Yarı Otomatik,Benzin,UST
1399000.0,2020,152000.0,1332.0,160.0,Nissan,Yarı Otomatik,Benzin,PREMIUM
2765000.0,2023,70000.0,1497.0,213.0,Nissan,Otomatik,Hibrit,PREMIUM
3399950.0,2025,6150.0,1497.0,213.0,Nissan,Otomatik,Benzin,PREMIUM
1625000.0,2019,72000.0,1332.0,160.0,Nissan,Yarı Otomatik,Benzin,PREMIUM
